word,freq
atenção,66547
seis,66434
linda,66389
último,66261
chamar,66128
escritório,65864
rei,65683
falei,65546
especial,65499
comprar,65212
após,65202
resto,65168
fiquei,65124
alô,65013
saiu,64897
ganhar,64819
controle,64686
fico,64450
brincando,64250
volte,64170
nesta,64071
garotas,64047
queremos,63747
presidente,63744
pegou,63610
real,63517
devem,63381
aonde,63320
precisar,63126
negócio,62899
doutor,62894
encontro,61992
escute,61801
finalmente,61742
estado,61486
cuidar,60836
ama,60809
armas,60763
rua,60529
sam,60493
umas,60448
dólares,60344
fato,60323
sentido,60127
pequena,60086
prisão,59752
casar,59639
trabalhando,59425
escolha,59391
puta,59377
amiga,59231
sozinha,58969
próprio,58945
cabelo,58805
deste,58773
engraçado,58544
policial,58388
perfeito,58262
passou,58164
alto,58111
palavras,57935
livre,57552
mente,57490
seguro,57329
menina,57270
própria,57216
bonito,57038
futuro,57038
pro,56913
entendi,56702
esqueça,56687
respeito,56606
tio,56450
entender,56334
estará,56161
visto,56158
agente,55946
sinal,55795
grupo,55772
andar,55660
presente,55514
milhões,55448
rosto,55388
mesa,55306
dor,55231
foto,55156
preso,54749
leve,54602
partir,54587
consegui,54528
sexo,54244
voz,54239
assassino,54216
pense,54184
chamado,54116
daí,53703
sai,53684
pediu,53657
jesus,53601
situação,53568
olhando,53530
perdeu,53524
you,53509
tom,53441
voltou,53299
grandes,53253
modo,53213
viagem,53073
sistema,53013
rapazes,52842
simples,52840
linha,52776
achou,52739
entendeu,52613
salvar,52568
boas,52377
conhecer,52374
estaria,52374
emprego,52363
chama,52320
bonita,52234
conosco,52213
melhores,51885
dez,51848
mensagem,51731
michael,51721
contou,51635
idade,51552
crime,51531
questão,51399
trazer,51393
usando,51335
local,51263
simplesmente,51031
lindo,50868
tente,50856
encontrei,50725
ficará,50701
acredita,50699
levou,50583
precisam,50489
farei,50464
doente,50444
natal,50358
professor,50230
odeio,50168
rapaz,50099
motivo,49971
disseram,49941
fizeram,49708
seguir,49671
ótima,49267
programa,49216
campo,49189
normal,49078
continue,49035
vontade,48919
graças,48859
menino,48818
chão,48790
sol,48741
hey,48679
soube,48473
acabei,48448
perguntas,48393
surpresa,48375
lista,48356
sonho,48276
olho,48164
terminar,48158
irei,48002
resposta,47991
beber,47952
ordem,47897
encontrou,47847
senhores,47680
peguei,47670
hotel,47633
caixa,47615
quente,47494
povo,47397
acidente,47250
erro,47127
precisava,46959
diria,46959
advogado,46927
mortos,46853
aniversário,46803
joe,46732
inferno,46641
ataque,46533
david,46407
charlie,46343
vale,46236
frank,46182
fotos,46043
show,45951
abrir,45916
parabéns,45842
fome,45793
voce,45793
ficando,45655
totalmente,45644
morta,45526
loja,45495
naquela,45457
energia,45308
conversa,45100
espaço,45045
serviço,45044
monte,44907
assassinato,44903
lei,44767
negócios,44707
banco,44685
reunião,44648
estarei,44636
completamente,44585
george,44577
divertido,44407
ligou,44372
