word,freq
dance,97339
meeting,97328
till,97044
others,96631
catch,96609
follow,96529
sense,96442
sex,96431
lie,95930
evening,95321
master,95131
known,95125
dream,95089
write,94964
million,94514
voice,94104
sweet,94057
rather,94057
felt,93826
sign,92512
lucky,92377
somewhere,92265
bet,91573
jesus,91143
longer,91035
calling,90868
worked,90771
quiet,90552
looked,90441
less,90011
pull,89880
beat,89787
careful,89667
coffee,89650
return,89451
secret,89236
weeks,88925
date,88407
seeing,88192
fall,87762
given,87738
ooh,87683
fault,87420
straight,87378
takes,86959
song,86877
future,86832
gentlemen,86660
loved,86138
changed,86133
road,85751
calm,85638
wonderful,85617
mad,85366
turned,85279
drop,85186
ladies,85029
learn,84936
step,84882
absolutely,84856
early,84836
explain,84368
clean,84238
piece,84224
yesterday,83823
throw,83679
picture,83461
land,83422
feet,83295
wonder,82903
questions,82887
speaking,82769
worth,82559
darling,82240
dude,82190
giving,82085
president,81980
eye,81953
quick,81548
moving,81193
figure,81048
state,80818
strong,80501
sam,80423
none,80315
amazing,80267
ones,79546
works,79323
act,79020
needed,78920
weird,78317
law,78264
worried,78083
report,77824
goodbye,77514
missing,77326
choice,77197
happening,77052
chief,76951
wedding,76940
strange,76863
general,76816
pain,76799
kidding,76744
decided,76683
pass,76635
tired,76540
class,76489
officer,76015
kept,75930
wake,75776
worse,75595
busy,75557
mistake,74957
kiss,74790
court,74580
building,74492
finish,74299
age,74262
ship,74224
caught,74060
marry,73938
meant,73929
sell,73802
dark,73770
watching,73700
system,73678
suppose,73465
evidence,73113
movie,73070
ride,73070
completely,72777
mouth,72733
totally,72478
birthday,72140
forgive,71915
born,71906
imagine,71873
information,71840
instead,71571
definitely,71524
security,71503
certainly,71435
film,71407
month,71163
lying,71098
unless,70979
train,70974
seven,70968
wear,70955
clothes,70929
michael,70741
hotel,70659
christmas,70624
attack,70583
round,70043
expect,69614
sing,69575
terrible,69499
george,69441
bag,69186
history,69119
blue,68839
near,68790
broke,68629
station,68571
seriously,68524
forever,68510
david,68505
frank,68472
except,68440
thinks,68354
message,68305
entire,68282
joe,68244
table,67702
talked,67666
across,67595
rock,67361
lovely,67236
handle,67089
middle,66734
buddy,66718
paid,66526
protect,66508
using,66503
floor,66456
ran,66177
swear,66157
spend,66119
situation,66029
ring,66018
anywhere,65981
dangerous,65974
bill,65959
york,65880
army,65795
lead,65756
bought,65752
finished,65659
fair,65474
sun,65448
letter,65448
fool,65432
attention,65421
club,65275
simple,65090
interesting,65082
space,64991
test,64969
box,64788
group,64761
single,64614
sitting,64521
marriage,64465
join,64456
fear,64352
peace,64262
forgot,64169
force,63737
short,63714
normal,63676
charlie,63672
present,63307
enjoy,63294
mike,63219
